,pmid,topic
2928,32374074,Treatment;Mechanism
2929,32749486,Treatment
2933,32470186,Diagnosis;Treatment
2936,32452874,Treatment
2938,32057575,Treatment
2941,32493638,Treatment;Prevention
2942,32270884,Mechanism;Treatment
2946,32341519,Diagnosis;Treatment
2949,32730205,Diagnosis;Treatment;Mechanism;Transmission
2950,32194981,Treatment
2954,32749221,Treatment;Diagnosis
2956,32347743,Treatment
2963,32304772,Diagnosis;Treatment
2966,32251726,Treatment
2967,32395474,Treatment;Mechanism
2968,32766161,Treatment;Diagnosis
2974,32635755,Diagnosis;Treatment
2978,32663524,Treatment
2986,32762158,Treatment;Mechanism;Diagnosis
2993,32593418,Treatment;Mechanism;Diagnosis
3004,32416321,Treatment;Diagnosis
3007,32745596,Treatment;Diagnosis
3009,32434831,Diagnosis;Treatment
3011,32602006,Treatment;Diagnosis
3014,32419438,Treatment;Diagnosis
3020,32612666,Treatment;Diagnosis
3021,32712236,Treatment
3022,32512122,Treatment
3023,32315429,Treatment
3024,32417181,Treatment
3030,32437696,Treatment;Diagnosis
3033,32425361,Treatment
3038,32233057,Treatment
3040,32694078,Treatment
3047,32165541,Mechanism;Treatment
3060,32770582,Treatment;Mechanism
3064,32674823,Treatment;Diagnosis
3069,32681141,Prevention;Diagnosis;Treatment
3071,32595357,Treatment;Mechanism
3074,32637325,Prevention;Treatment
3078,32771035,Treatment;Prevention
3079,32636066,Treatment
3094,32649661,Treatment;Diagnosis
3095,32631373,Treatment
3098,32641877,Treatment
3099,32501972,Treatment
3102,32362644,Treatment
3104,32281886,Treatment
3107,32571606,Treatment
3117,32333911,Diagnosis;Treatment
3118,32074258,Treatment
3121,32690491,Treatment
3122,32742308,Treatment;Mechanism
3124,32761524,Treatment;Diagnosis;Mechanism
3130,32592918,Treatment
3132,32428809,Treatment;Mechanism
3140,32105090,Mechanism;Treatment
3141,32276140,Mechanism;Treatment
3142,32242901,Treatment
3144,32385132,Treatment;Prevention
3154,32414233,Treatment;Mechanism
3155,32771084,Treatment;Diagnosis
3156,32445484,Treatment
3157,32319433,Treatment
3161,32395788,Diagnosis;Treatment
3162,32290839,Treatment
3167,32678432,Treatment;Mechanism
3171,32487869,Treatment;Mechanism
3178,32427171,Treatment
3182,32653224,Treatment
3188,32505069,Treatment
3193,32732951,Mechanism;Treatment
3198,32486364,Treatment;Diagnosis
3199,32567995,Treatment;Mechanism
3202,32707942,Treatment
3205,32239628,Mechanism;Transmission;Treatment
3209,32744592,Treatment
3217,32693652,Treatment;Prevention
3220,32653475,Treatment
3221,32747214,Treatment
3222,32353223,Treatment;Diagnosis
3225,32691000,Treatment
3230,32239142,Treatment
3231,32741541,Treatment;Diagnosis
3234,32697000,Treatment
3237,32697610,Treatment
3238,32363255,Treatment;Mechanism
3243,32698423,Treatment;Mechanism
3251,32549125,Treatment;Mechanism
3254,32721528,Treatment
3255,32592919,Treatment;Mechanism
3258,32427182,Prevention;Treatment
3259,32292627,Treatment
3265,32242095,Treatment
3266,32373237,Diagnosis;Treatment
3273,32292686,Prevention;Mechanism;Diagnosis;Treatment
3275,32561979,Treatment;Mechanism
3276,32363212,Treatment
3279,32591908,Treatment;Mechanism
3280,32573711,Treatment;Mechanism
3281,32412787,Prevention;Treatment
3282,32618698,Treatment
3284,32313110,Treatment
3288,32500504,Mechanism;Treatment
3290,32691680,Treatment;Mechanism
3292,32544884,Treatment;Mechanism
3295,32775090,Treatment
3301,32566624,Treatment
3302,32698822,Treatment;Diagnosis
3314,32306864,Diagnosis;Treatment
3326,32066206,Treatment;Diagnosis
3329,32396903,Treatment
3331,32682810,Treatment;Diagnosis
3343,32458561,Treatment;Mechanism
3349,32451147,Treatment
3351,32723427,Treatment;Mechanism
3354,32336317,Treatment;Diagnosis
3355,32586724,Treatment;Diagnosis
3356,32646540,Epidemic Forecasting;Prevention;Treatment
3357,32735130,Treatment;Diagnosis;Prevention
3358,32321856,Treatment;Mechanism
3360,32386744,Treatment
3365,32654963,Treatment;Diagnosis
3366,32378705,Mechanism;Treatment
3369,32387014,Treatment
3379,32337546,Treatment
3383,32639643,Treatment
3393,32639062,Treatment
3401,32636031,Treatment;Mechanism
3418,32445671,Mechanism;Treatment
3419,32656638,Diagnosis;Treatment
3422,32273594,Treatment;Mechanism
3425,32600316,Treatment;Mechanism
3426,32616298,Treatment
3427,32718936,Diagnosis;Treatment
3428,32339335,Treatment
3429,32272396,Treatment
3432,32198275,Treatment;Transmission
3433,32558963,Treatment;Diagnosis
3435,32452947,Treatment
3438,32404451,Diagnosis;Treatment;Prevention
3444,32645207,Treatment;Mechanism
3448,32423584,Treatment
3449,32639466,Treatment;Diagnosis
3450,32124506,Diagnosis;Treatment
3454,32378737,Treatment
3456,32566554,Diagnosis;Treatment
3460,32499538,Treatment
3462,32735170,Diagnosis;Treatment
3465,32203711,Prevention;Treatment
3467,32510470,Treatment
3469,32743014,Diagnosis;Treatment;Transmission
3474,32686219,Treatment
3480,32619329,Treatment;Diagnosis
3481,32597077,Treatment
3483,32763844,Treatment
3484,32278860,Treatment
3486,32688139,Treatment;Mechanism
3490,32419524,Treatment
3494,32662982,Treatment;Mechanism
3495,32448041,Treatment;Mechanism
3503,32406283,Treatment;Prevention
3513,32307653,Treatment;Mechanism
3514,32777318,Treatment;Diagnosis
3524,32722980,Treatment;Diagnosis
3531,32294807,Treatment
3534,32678949,Treatment;Diagnosis
3541,32112549,Treatment;Diagnosis
3546,32408043,Diagnosis;Treatment
3550,32634589,Treatment
3551,32769892,Diagnosis;Treatment
3552,32753138,Diagnosis;Treatment
3561,32740371,Treatment;Diagnosis
3562,32714386,Treatment;Mechanism
3567,32300370,Treatment
3569,32542842,Treatment;Diagnosis
3581,32609290,Treatment;Prevention
3591,32320270,Mechanism;Treatment
3603,32691074,Treatment;Mechanism
3611,32682041,Treatment
3615,32649747,Treatment
3624,32665809,Treatment
3628,32194152,Treatment
3629,32573950,Treatment;Mechanism
3630,32770237,Treatment
3631,32436445,Treatment
3636,32360444,Treatment
3638,32560203,Mechanism;Treatment
3639,32216698,Mechanism;Treatment
3641,32337192,Treatment
3647,32485619,Treatment;Diagnosis
3648,32656888,Diagnosis;Treatment
3665,32677545,Treatment;Mechanism
3668,32702995,Treatment;Diagnosis
3670,32576358,Treatment
3705,32674170,Diagnosis;Treatment
3706,32484907,Treatment
3714,32442347,Treatment
3715,32759008,Treatment;Mechanism
3716,32187459,Treatment
3719,32304156,Treatment
3728,32683576,Diagnosis;Treatment
3730,32568289,Treatment
3732,32619723,Treatment
3733,32674821,Treatment;Diagnosis
3735,32579022,Treatment
3739,32658735,Treatment;Mechanism
3750,32665462,Treatment;Diagnosis
3752,32628369,Treatment;Prevention
3754,32593033,Treatment
3755,32240283,Treatment
3756,32473657,Treatment;Diagnosis
3758,32736197,Treatment;Diagnosis
3760,32687449,Treatment;Mechanism
3765,32305501,Treatment;Mechanism
3767,32759175,Diagnosis;Treatment
3772,32474406,Treatment
3776,32772307,Treatment;Mechanism
3779,32554629,Treatment;Prevention
3780,32771304,Treatment;Mechanism
3795,32452282,Treatment;Mechanism
3799,32304747,Treatment;Mechanism
3800,32438037,Treatment
3806,32653765,Treatment;Mechanism
3813,32299202,Treatment;Mechanism
3816,32283324,Mechanism;Treatment
3824,32425199,Treatment
3825,32552044,Treatment
3826,32425651,Treatment;Diagnosis;Prevention;Mechanism
3829,32489022,Diagnosis;Treatment
3830,32348339,Treatment;Diagnosis
3833,32395245,Treatment
3843,32292805,Treatment
3844,32538996,Treatment
3848,32623632,Treatment;Diagnosis
3855,32365221,Treatment;Diagnosis
3857,32464494,Treatment;Mechanism
3861,32750000,Treatment;Diagnosis
3866,32679620,Treatment;Mechanism
3871,32349772,Treatment;Diagnosis;Transmission
3873,32496241,Treatment
3877,32742475,Mechanism;Treatment
3880,32347055,Treatment;Mechanism
3886,32675715,Treatment;Diagnosis
3887,32414420,Treatment
3890,32738617,Treatment;Mechanism
3893,32345544,Treatment
3897,32444358,Treatment;Prevention
3908,32347925,Treatment;Mechanism
3918,32294372,Treatment
3920,32560745,Treatment
3925,32683320,Treatment
3931,32640723,Mechanism;Treatment
3932,32641874,Treatment
3934,32329246,Treatment
3940,32668763,Treatment;Diagnosis
3947,32281877,Mechanism;Treatment
3949,32450774,Mechanism;Treatment
3952,32394639,Treatment;Mechanism
3953,32196707,Mechanism;Treatment
3954,32540268,Treatment;Mechanism
3965,32659267,Treatment;Mechanism;Prevention
3967,32311451,Treatment;Mechanism
3970,32733980,Treatment;Diagnosis
3971,32299472,Treatment;Diagnosis
3975,32356910,Treatment
3981,32681716,Treatment;Mechanism
3988,32430652,Treatment
3989,32766805,Diagnosis;Mechanism;Treatment;Prevention
3996,32468193,Treatment;Diagnosis
4001,32621841,Treatment;Mechanism
4015,32653160,Treatment;Diagnosis
4016,32437250,Treatment
4017,32442437,Mechanism;Treatment
4022,32405877,Treatment;Mechanism
4027,32281330,Treatment
4031,32735918,Diagnosis;Treatment
4034,32683753,Treatment;Mechanism;Diagnosis
4047,32342578,Treatment;Diagnosis
4052,32512289,Treatment;Mechanism
4061,32760740,Treatment;Mechanism
4062,32746642,Treatment;Diagnosis
4070,32462719,Treatment;Prevention
4071,32494931,Treatment
4078,32777130,Diagnosis;Treatment
4079,32434254,Treatment
4082,32745925,Treatment;Mechanism
4083,32364404,Treatment
4085,32420958,Treatment
4087,32457932,Treatment
4095,32489654,Prevention;Treatment
4097,32303821,Treatment
4100,32645644,Diagnosis;Treatment
4104,32284326,Treatment;Mechanism
4106,32279018,Treatment
4107,32665858,Treatment;Diagnosis
4111,32726561,Treatment;Diagnosis
4114,32672799,Diagnosis;Treatment
4116,32388676,Treatment
4117,32745308,Treatment;Diagnosis
4125,32169119,Mechanism;Treatment;Transmission
4127,32776161,Diagnosis;Treatment
4130,32348111,Mechanism;Treatment
4135,32535456,Treatment;Mechanism
4140,32713677,Treatment;Diagnosis
4141,32438018,Treatment
4149,32176361,Treatment
4150,32693298,Treatment
4157,32534867,Mechanism;Treatment
4159,32353859,Treatment;Mechanism
4160,32749496,Treatment
4162,32149772,Treatment
4164,32504198,Diagnosis;Treatment
4166,32304645,Treatment
4168,32612804,Treatment
4178,32562554,Treatment;Diagnosis
4184,32393664,Treatment
4193,32556892,Treatment
4194,32766566,Treatment;Diagnosis;Prevention
4197,32408156,Diagnosis;Treatment
4207,32422179,Treatment
4209,32687823,Treatment
4214,32744709,Treatment;Mechanism
4215,32325025,Mechanism;Treatment
4221,32425645,Treatment
4229,32716553,Treatment;Mechanism
4231,32654422,Treatment
4236,32281268,Treatment
4242,32645325,Treatment;Mechanism
4245,32653452,Treatment;Mechanism
4250,32348489,Treatment
4253,32376400,Treatment;Mechanism
4254,32772478,Treatment;Mechanism
4255,32301298,Treatment;Prevention;Diagnosis
4256,32315725,Treatment;Diagnosis
4262,32492298,Treatment
4283,32360482,Diagnosis;Treatment
4286,32324595,Treatment
4293,32548995,Treatment;Prevention
4294,32560658,Treatment;Diagnosis
4305,32733687,Treatment
4313,32755425,Treatment;Mechanism;Diagnosis
4316,32777639,Treatment;Diagnosis
4317,32497750,Treatment
4329,32664879,Treatment;Mechanism
4335,32694143,Mechanism;Treatment
4338,32441496,Treatment
4341,32590324,Treatment;Mechanism
4342,32735549,Diagnosis;Treatment
4348,32569819,Treatment;Mechanism
4352,32629686,Diagnosis;Treatment
4353,32454066,Treatment;Mechanism
4360,32542802,Treatment;Mechanism
4367,32700024,Treatment;Mechanism;Diagnosis
4376,32403954,Diagnosis;Treatment
4394,32553516,Treatment
4396,32439072,Treatment;Diagnosis
4398,32451353,Treatment
4400,32455534,Treatment;Mechanism
4401,32124179,Treatment
4402,32653981,Treatment;Mechanism
4411,32360979,Treatment
4420,32636114,Treatment
4421,32444399,Prevention;Treatment
4426,32425996,Diagnosis;Prevention;Treatment;Transmission
4427,32393593,Diagnosis;Treatment
4438,32766256,Treatment;Mechanism;Diagnosis
4439,32558211,Treatment
4444,32072569,Mechanism;Epidemic Forecasting;Treatment;Transmission
4447,32731090,Treatment;Diagnosis
4449,32657473,Treatment;Mechanism
4451,32647390,Treatment;Prevention;Diagnosis
4453,32745502,Treatment;Mechanism
4455,32761894,Treatment;Mechanism
4457,32767584,Prevention;Treatment
4458,32535232,Treatment;Mechanism;Diagnosis
4461,32441299,Treatment;Mechanism
4462,32621017,Mechanism;Treatment
4471,32736237,Treatment
4474,32610165,Treatment
4475,32628003,Treatment
4481,32672430,Treatment;Diagnosis
4483,32348598,Treatment;Diagnosis;Prevention
4484,32601020,Treatment;Diagnosis
4489,32730614,Treatment;Diagnosis
4493,32741259,Treatment;Mechanism
4501,32767349,Treatment;Diagnosis
4503,32710999,Treatment;Prevention
4505,32504923,Treatment;Mechanism
4507,32283315,Treatment
4519,32347747,Mechanism;Treatment
4521,32379194,Treatment
4522,32152082,Treatment
4525,32281333,Treatment
4529,32638906,Treatment
4531,32338320,Treatment
4543,32467382,Treatment
4550,32768698,Treatment
4555,32330073,Treatment
4562,32695320,Treatment;Mechanism
4563,32212240,Treatment;Prevention
4571,32600378,Treatment
4577,32366746,Diagnosis;Treatment;Prevention
4585,32742815,Mechanism;Diagnosis;Treatment
4586,32729463,Mechanism;Treatment;Diagnosis
4588,32720702,Treatment;Diagnosis
4591,32539378,Treatment;Mechanism
4595,32690059,Treatment
4596,32436829,Treatment;Mechanism
4600,32719684,Treatment;Mechanism
4602,32726355,Treatment;Mechanism
4610,32228825,Treatment
4614,32339960,Treatment;Diagnosis
4615,32379348,Treatment
4628,32660314,Treatment;Prevention
4631,32452644,Treatment;Mechanism
4637,32445956,Treatment;Mechanism
4639,32492436,Treatment
4641,32281332,Treatment
4643,32328406,Treatment
4656,32282032,Treatment;Mechanism
4658,32726325,Treatment;Mechanism
4662,32694201,Treatment;Mechanism
4664,32649076,Treatment
4675,32357975,Treatment
4679,32651020,Mechanism;Treatment
4682,32362217,Treatment;Mechanism
4683,32710820,Treatment;Diagnosis
4700,32307151,Treatment
4702,32555388,Diagnosis;Treatment
4704,32355869,Mechanism;Treatment
4713,32738483,Treatment
4719,32579952,Treatment;Mechanism
4720,32278670,Treatment;Diagnosis
4723,32692874,Treatment
4724,32425365,Treatment
4731,32557214,Treatment;Mechanism
4735,32359771,Treatment
4737,32762135,Treatment;Mechanism
4742,32757352,Mechanism;Treatment
4750,32555674,Diagnosis;Treatment
4755,32541567,Treatment
4759,32313806,Mechanism;Transmission;Diagnosis;Prevention;Treatment
4766,32569708,Treatment;Mechanism
4772,32293940,Treatment
4776,32379417,Treatment;Mechanism
4779,32643469,Diagnosis;Treatment
4788,32544615,Treatment;Mechanism
4802,32329877,Treatment;Diagnosis
4804,32463890,Treatment;Prevention
4816,32061635,Treatment
4818,32425303,Treatment;Mechanism
4823,32643489,Treatment;Diagnosis
4824,32658389,Treatment;Mechanism
4826,32706953,Treatment
4827,32648093,Treatment;Diagnosis
4829,32350227,Mechanism;Treatment
4836,32359203,Treatment
4847,32627524,Treatment;Mechanism;Diagnosis
4859,32737462,Mechanism;Treatment
4867,32579293,Treatment;Diagnosis
4869,32401962,Treatment
4870,32768277,Treatment;Diagnosis
4879,32343775,Diagnosis;Treatment
4882,32668401,Treatment;Diagnosis
4883,32767265,Treatment;Diagnosis
4886,32473127,Treatment;Mechanism
4893,32345311,Diagnosis;Treatment
4897,32429038,Treatment;Diagnosis
4900,32376099,Treatment;Mechanism
4901,32432433,Mechanism;Treatment
4910,32365944,Treatment;Mechanism
4912,32574286,Diagnosis;Mechanism;Treatment
4913,32289548,Treatment
4919,32757751,Diagnosis;Treatment
4923,32682360,Treatment
4924,32628001,Treatment;Prevention
4931,32421092,Treatment;Mechanism
4939,32635756,Treatment;Diagnosis
4949,32638151,Treatment;Mechanism
4958,32535597,Treatment
4961,32739471,Treatment;Mechanism
4966,32471278,Treatment
4972,32745940,Treatment
4983,32508311,Treatment;Mechanism
4986,32737100,Treatment
4988,32746653,Treatment
4993,32346491,Treatment
5002,32495576,Treatment;Mechanism
5004,32701630,Treatment
5007,32426991,Diagnosis;Treatment
5009,32652521,Treatment;Diagnosis
5018,32562159,Treatment
5020,32293672,Treatment;Mechanism
5023,32696637,Treatment;Mechanism
5024,32482373,Treatment;Mechanism
5026,32096396,Treatment
5029,32439915,Treatment;Mechanism
5035,32777281,Treatment
5041,32436355,Treatment;Diagnosis
5054,32473010,Treatment
5064,32200663,Mechanism;Treatment
5074,32020374,Treatment;Diagnosis
5079,32328576,Treatment
5081,32726006,Treatment
5085,32680880,Diagnosis;Treatment
5086,32192284,Diagnosis;Treatment
5090,32540481,Treatment
5092,32759459,Treatment
5104,32649217,Treatment;Mechanism
5111,32289171,Treatment
5117,32481460,Treatment
5119,32389715,Diagnosis;Treatment;Prevention
5121,32407459,Treatment;Diagnosis
5125,32436075,Treatment;Diagnosis
5128,32150618,Treatment
5129,32616763,Treatment;Mechanism
5133,32402515,Treatment;Diagnosis
5134,32441246,Diagnosis;Treatment
5137,32421150,Treatment
5141,32220651,Transmission;Treatment
5144,32655013,Diagnosis;Treatment
5147,32441764,Treatment;Mechanism
5149,32266708,Mechanism;Treatment
5156,32551127,Treatment
5165,32714936,Treatment;Mechanism
5167,32222167,Treatment
5170,32644254,Treatment;Diagnosis
5181,32648107,Treatment;Diagnosis
5182,32771640,Treatment;Diagnosis;Mechanism
5187,32488173,Treatment
5188,32752010,Treatment
5192,32757760,Treatment
5193,32274964,Mechanism;Treatment
5197,32320384,Treatment
5200,32358203,Treatment;Mechanism
5203,32571168,Treatment;Mechanism
5206,32736569,Treatment;Mechanism
5217,32736827,Prevention;Treatment
5225,32208983,Prevention;Treatment
5228,32698840,Treatment;Diagnosis;Mechanism
5231,32629518,Treatment;Mechanism
5234,32660186,Treatment;Mechanism;Diagnosis
5240,32360285,Treatment;Mechanism
5259,32565362,Mechanism;Treatment
5262,32293807,Treatment
5266,32431227,Treatment
5267,32583506,Treatment
5275,32638507,Treatment;Diagnosis
5286,32345328,Treatment;Diagnosis
5287,32665002,Treatment
5289,32425249,Treatment;Mechanism
5291,32391659,Treatment
5297,32448345,Treatment
5298,32562705,Treatment;Mechanism
5301,32246834,Mechanism;Treatment
5303,32296910,Mechanism;Treatment
5311,32652329,Treatment
5318,32422152,Treatment
5319,32699026,Treatment;Mechanism;Diagnosis
5320,32502542,Treatment;Mechanism
5321,32594204,Treatment;Mechanism
5322,32651959,Treatment
5325,32764454,Treatment;Mechanism
5326,32653040,Treatment
5330,32296012,Treatment
5331,32463239,Treatment;Mechanism
5340,32247925,Treatment
5346,32601001,Prevention;Treatment;Mechanism
5350,32403032,Treatment;Diagnosis
5353,32592845,Mechanism;Treatment;Transmission
5355,32437935,Treatment;Diagnosis
5357,32439366,Treatment
5358,32035509,Treatment
5362,32159735,Treatment
5366,32356908,Mechanism;Treatment
5368,32454510,Mechanism;Treatment
5372,32728006,Treatment;Transmission;Diagnosis
5380,32745609,Treatment;Diagnosis
5381,32460973,Mechanism;Treatment
5385,32251365,Treatment
5395,32278797,Treatment
5400,32771570,Diagnosis;Treatment
5406,32750141,Treatment;Mechanism
5409,32726479,Treatment
5421,32088344,Diagnosis;Treatment;Prevention
5422,32575065,Treatment
5426,32679055,Treatment
5429,32353251,Treatment;Mechanism
5439,32291542,Diagnosis;Treatment
5443,32399563,Diagnosis;Treatment
5445,32386449,Diagnosis;Treatment
5449,32774508,Treatment
5451,32695644,Prevention;Treatment
5456,32617989,Treatment
5457,32771560,Treatment;Diagnosis
5459,32399719,Mechanism;Diagnosis;Treatment
5460,32376396,Treatment
5463,32275812,Treatment
5471,32773103,Diagnosis;Treatment;Prevention
5474,32397399,Treatment
5475,32648959,Treatment
5480,32683971,Treatment;Prevention
5481,32701511,Treatment;Mechanism;Diagnosis
5482,32573311,Diagnosis;Treatment
5484,32543119,Treatment;Diagnosis
5486,32721038,Diagnosis;Treatment
5504,32612432,Treatment;Transmission
5507,32694127,Treatment;Mechanism
5509,32683837,Diagnosis;Treatment
5513,32315803,Treatment
5519,32221171,Mechanism;Treatment
5522,32665040,Treatment
5523,32268343,Treatment;Mechanism
5529,32696759,Treatment;Mechanism
5536,32297900,Treatment
5538,32415690,Treatment
5542,32470213,Treatment
5546,32036640,Treatment
5549,32475990,Treatment;Diagnosis
5551,32568026,Treatment;Diagnosis;Prevention
5557,32707480,Treatment
5559,32679006,Treatment;Mechanism
5567,32600107,Treatment;Prevention
5579,32738257,Treatment;Mechanism
5580,32272550,Mechanism;Treatment
5582,32669979,Diagnosis;Treatment
5583,32491829,Treatment;Mechanism;Transmission
5587,32665398,Diagnosis;Treatment
5588,32376397,Treatment
5589,32711003,Treatment;Diagnosis
5592,32336678,Treatment
5593,32511673,Diagnosis;Treatment;Transmission
5599,32380316,Treatment;Mechanism
5604,32334862,Diagnosis;Treatment
5616,32670526,Mechanism;Treatment
5627,32757981,Treatment
5635,32479986,Treatment;Mechanism
5640,32397558,Treatment;Diagnosis
5641,32560382,Treatment
5644,32538855,Treatment;Mechanism;Prevention
5647,32389701,Treatment
5649,32382748,Treatment;Prevention
5652,32752951,Treatment;Mechanism
5654,32369098,Treatment
5656,32377677,Treatment;Diagnosis;Prevention
5658,32725610,Diagnosis;Mechanism;Treatment
5663,32732010,Diagnosis;Treatment
5666,32674594,Treatment
5688,32584243,Treatment
5698,32425198,Treatment
5700,32650004,Treatment;Mechanism;Diagnosis
5701,32344011,Treatment;Diagnosis
5702,32487876,Treatment
5708,32405278,Treatment
5709,32438836,Treatment
5714,32727941,Treatment;Prevention
5716,32659293,Treatment
5725,32324222,Treatment
5732,32675213,Treatment
5733,32563234,Treatment;Mechanism;Diagnosis
5734,32324898,Treatment
5751,32391667,Treatment
5753,32561657,Treatment
5760,32321407,Treatment;Mechanism
5761,32768467,Diagnosis;Treatment
5762,32189136,Diagnosis;Treatment
5766,32353370,Treatment;Mechanism
5778,32695719,Treatment
5786,32588377,Treatment
5790,32502485,Treatment
5793,32375153,Treatment;Mechanism
5799,32607499,Treatment;Diagnosis
5802,32416028,Diagnosis;Mechanism;Treatment
5804,32145714,Mechanism;Treatment
5809,32697968,Mechanism;Treatment
5813,32581323,Treatment;Diagnosis
5815,32366774,Diagnosis;Treatment
5818,32226289,Treatment
5827,32373997,Diagnosis;Treatment
5828,32741322,Treatment;Mechanism
5830,32655735,Treatment;Diagnosis
5832,32594164,Diagnosis;Treatment
5833,32484298,Diagnosis;Treatment
5836,32209889,Mechanism;Treatment
5837,32401844,Treatment;Mechanism
5841,32247193,Treatment
5848,32592868,Treatment;Mechanism
5853,32456948,Treatment;Diagnosis
5871,32229257,Treatment
5874,32725762,Treatment;Diagnosis
5877,32669391,Treatment;Mechanism;Diagnosis
5879,32164082,Treatment
5884,32447783,Treatment
5893,32358858,Treatment;Prevention
5894,32130973,Mechanism;Treatment
5899,32394693,Treatment
5901,32407706,Treatment
5905,32572155,Mechanism;Diagnosis;Treatment
5907,32738988,Treatment;Mechanism
5910,32471171,Treatment;Mechanism
5913,32495580,Treatment
5918,32251731,Mechanism;Treatment
5922,32632527,Treatment;Diagnosis
5926,32634026,Treatment
5927,32320741,Diagnosis;Treatment
5933,32607393,Treatment;Mechanism
5939,32387320,Treatment
5940,32387246,Treatment;Diagnosis
5942,32667618,Treatment;Mechanism
5943,32435065,Treatment;Prevention
5950,32357545,Treatment;Mechanism
5952,32736592,Treatment;Mechanism
5953,32495148,Treatment
5956,32758903,Treatment;Mechanism
5963,32404020,Treatment
5967,32471001,Diagnosis;Treatment
5968,32447101,Treatment;Diagnosis
5972,32691699,Treatment
5978,32717489,Treatment
5997,32241520,Treatment
5999,32601834,Treatment
6003,32754041,Treatment;Mechanism
6008,32452762,Treatment;Mechanism
6009,32698857,Treatment;Diagnosis
6018,32709251,Diagnosis;Treatment
6025,32209385,Mechanism;Diagnosis;Treatment
6031,32621718,Treatment;Mechanism
6033,32318324,Treatment
6034,32554825,Treatment;Prevention
6036,32371563,Diagnosis;Treatment;Prevention
6037,32173287,Treatment
6044,32489028,Treatment
6046,32570882,Treatment;Mechanism
6048,32728222,Treatment;Mechanism
6053,32232474,Treatment
6059,32749642,Prevention;Treatment;Transmission
6060,32404477,Treatment;Mechanism
6062,32468014,Treatment
6065,32635598,Treatment;Mechanism
6069,32585295,Treatment;Mechanism
6070,32675717,Treatment
6073,32658841,Treatment
6074,32439209,Treatment;Diagnosis
6079,32343162,Treatment
6083,32680592,Treatment;Diagnosis
6087,32746685,Diagnosis;Treatment
6088,32410760,Diagnosis;Treatment
6089,32553190,Treatment
6093,32319446,Treatment
6097,32167173,Mechanism;Treatment
6105,32384908,Treatment;Mechanism
6108,32383319,Prevention;Treatment
6117,32597503,Treatment;Prevention;Mechanism
6121,32608046,Treatment
6123,32716217,Treatment;Diagnosis
6126,32643529,Treatment;Mechanism
6137,32376392,Treatment;Mechanism
6142,32629817,Treatment;Mechanism
6144,32297671,Diagnosis;Treatment
6145,32376603,Treatment
6147,32683322,Treatment
6153,32602676,Diagnosis;Treatment
6155,32265310,Treatment
6157,32321635,Treatment
6163,32157783,Treatment
6164,32446801,Treatment;Diagnosis
6165,32336564,Diagnosis;Treatment
6166,32173725,Mechanism;Treatment
6168,32564028,Treatment
6173,32646047,Treatment;Mechanism
6176,32629100,Treatment;Diagnosis
6189,32464624,Treatment
6192,32360286,Treatment;Diagnosis
6200,32752217,Treatment
6205,32352871,Treatment;Prevention
6206,32757745,Treatment;Diagnosis
6209,32255489,Treatment
6214,32712702,Diagnosis;Treatment;Mechanism
6217,32362061,Prevention;Mechanism;Treatment
6221,32380318,Treatment
6223,32706417,Treatment;Diagnosis
6227,32662333,Treatment;Mechanism
6234,32472676,Treatment;Diagnosis
6238,32768520,Treatment
6239,32276002,Treatment;Prevention
6241,32641974,Treatment;Diagnosis
6244,32479985,Treatment;Mechanism;Diagnosis
6258,32610172,Treatment
6262,32756371,Treatment
6269,32693665,Treatment
6271,32300975,Treatment
6272,32634734,Treatment;Mechanism
6273,32493609,Treatment
6283,32598450,Diagnosis;Treatment
6284,32467379,Treatment
6286,32579380,Diagnosis;Treatment
6292,32407807,Treatment
6295,32578791,Treatment
6296,32026148,Treatment;Diagnosis
6298,32584762,Treatment;Mechanism
6299,32437768,Treatment;Diagnosis
6301,32539863,Diagnosis;Treatment
6303,32719799,Treatment;Mechanism
6310,32305024,Treatment;Prevention;Diagnosis
6313,32473994,Treatment
6316,32474135,Treatment;Prevention
6323,32576359,Treatment
6326,32462545,Treatment
6327,32340837,Treatment
6330,32391242,Treatment
6343,32707445,Treatment;Mechanism
6344,32654514,Treatment
6356,32145185,Transmission;Treatment;Diagnosis;Prevention;Mechanism
6357,32765283,Treatment;Diagnosis
6367,32355837,Mechanism;Diagnosis;Treatment
6372,32645320,Treatment;Mechanism
6374,32659462,Treatment;Diagnosis
6376,32540142,Treatment;Prevention
6384,32646867,Treatment
6393,32569450,Treatment
6394,32464095,Treatment
6403,32726007,Treatment;Mechanism
6405,32599237,Treatment
6406,32629149,Treatment
6408,32392389,Treatment
6409,32762455,Treatment;Diagnosis
6424,32271462,Treatment
6429,32600800,Treatment
6430,32543703,Mechanism;Treatment
6431,32297590,Treatment
6434,32208497,Treatment
6435,32303591,Treatment
6439,32707112,Treatment;Prevention
6449,32304276,Mechanism;Treatment
6453,32536670,Treatment;Mechanism
6457,32681537,Treatment
6458,32377638,Treatment;Diagnosis
6463,32222168,Treatment
6464,32659175,Treatment;Mechanism
6472,32370577,Diagnosis;Treatment
6474,32682765,Treatment;Mechanism
6475,32423449,Treatment
6478,32226003,Diagnosis;Treatment;Prevention
6484,32706108,Treatment
6485,32346694,Prevention;Treatment
6494,32305009,Treatment
6499,32229155,Mechanism;Treatment
6506,32346094,Treatment;Mechanism
