,pmid,text,sentence,subtag
294,32473681,severe,Here we characterise the outcomes of a cohort of patients with cancer and COVID-19 and identify potential prognostic factors for mortality and severe illness .,
295,32474043,severe,The overall assessment by estimating random effects shows that the use of ACEIs/ARBs is not associated with higher risk of in-hospital-death and/or severe illness among hypertensive patients with COVID-19 infection,
296,32474885,severe,Various genetic mutations may also constitute a risk factor for severe disease course and occurrence of cytokine storm in COVID-19 .,
297,32475230,severe,Our result indicated higher levels of cytokine storm is associated with more severe disease development .,
298,32475230,severe,We hypothesized that cytokine storm is associated with severe outcome .,
299,32475759,severe,COVID-19 mortality is strongly associated with the development of severe pneumonia and acute respiratory distress syndrome with the worst outcome resulting in cytokine release syndrome and multiorgan failure .,
300,32475759,severe,Elevated systemic interleukin-6 levels in patients with COVID-19 are considered as a relevant parameter in predicting most severe course of disease and the need for intensive care .,
301,32477373,severe,"Overall , immunosuppressive therapy does neither seem to have a major impact on infection with SARS- and MERS-CoV nor does it seem to lead to a severe disease course in",
302,32479771,severe,This study provides a risk score that predicts critical care admission and death in COVID-19 .,
303,32479771,severe,"Older age , male sex , comorbidities , respiratory rate , oxygenation , radiographic severity , higher neutrophils , higher CRP and lower albumin at presentation predicted critical care admission",
304,32479771,severe,Non-white ethnicity predicted critical care admission but not death .,
305,32479771,severe,Risk scores of 4 or higher corresponded to a 28-day cumulative incidence of critical care admission or death of 40.7 % ( 95 % CI : 37.1 to 44.4 ),
306,32479771,severe,Our study identified predictors of critical care admission and death in people admitted to hospital with COVID-19 .,
307,32479771,severe,Endpoints assessed were critical care admission and death .,
308,32479790,severe,Patients with cancer and COVID-19 were more likely to deteriorate into severe illness than those without cancer .,
309,32482249,severe,"Severe acute respiratory syndrome-CoV-2 was not detected in semen after a median of 31 days ( interquartile range , 29-36 days ) from COVID-19 diagnosis .",
310,32482249,severe,Severe acute respiratory syndrome-CoV-2 was not detected in the semen of patients recovering from COVID-19 1 month after COVID-19 diagnosis .,
311,32483311,severe,"COVID-19 patients with hypertension were more likely than patients without hypertension to have severe pneumonia , excessive inflammatory reactions , organ and tissue damage , and deterioration of the disease",
312,32485082,severe,415 patients ( 34.6 % ) reached the primary endpoint of death or transfer to a critical care unit for organ support within 21-days of symptom onset .,
313,32485619,severe,The COVID-19 infection was of clustering onset and can cause severe respiratory disease and even death .,
314,32489027,severe,"Some virus infections were found to be highly aggressive , leading to lung inflammation and severe damage in respiratory system with high fatality rate .",
315,32489027,severe,"Patients with severe symptoms could get persistent high fever , dysfunctional breathing , consciousness disorders and even respiratory failure , post-inflammatory pulmonary fibrosis , multi-organ damages , shock and so",
316,32489696,severe,"alveoli leading to severe pneumonitis , decreased oxygenation , and potential death despite artificial ventilation .",
317,32490931,severe,"COVID-19 patients develop severe hypoxemia early in the course of the disease , which is silent most of the time .",
318,32491075,severe,"Respiratory symptoms , especially the development of severe acute respiratory distress syndrome , dominate the discussion and initial concerns of the population and health professionals .",
319,32492092,severe,None of 14 infants and 1 of 8 immunocompromised patients had severe disease .,
320,32492165,severe,"( 3.8 % ) had severe cases , and 3 ( 1.9 % ) were critically ill .",
321,32492530,severe,Severe pneumonia was defined as an oxygen saturation < =93 % at room air .,
322,32492712,severe,"% CI , 2.39-19.30 ] ; adjusted OR for bleeding , 3.56 [ 95 % CI , 1.01-12.66 ] ) , critical illness , and death .",
323,32492712,severe,"D-dimer elevation at admission was predictive of bleeding , thrombosis , critical illness , and death in patients with COVID-19 .",
324,32492712,severe,"Multivariable logistic models examined the utility of these markers in predicting coagulation-associated complications , critical illness , and death .",
325,32493459,severe,progression to severe ARDS .,
326,32493514,severe,( non-invasive ventilation ) or IMV ( invasive mechanical ventilation ) Severe respiratory failure : Age > = 18 years Inclusion criteria Non-invasive or invasive mechanical ventilation > = 48,
327,32493638,severe,Patients with HF may be at increased risk for severe disease and complications from COVID-19 .,
328,32494896,severe,Atrial fibrillation was the most commonly reported tachyarrhythmia whereas severe sinus bradycardia and complete heart block were the most common bradyarrhythmias .,
329,32495582,severe,"The results of curative effect show that TCM could significantly alleviate symptoms , control disease and tendency , reduce the occurrence of critical illness , and improve the clinical efficacy",
330,32495917,severe,OBJECTIVE : Lopinavir/ritonavir has modest antiviral activity against severe acute respiratory syndrome coronavirus 2 .,
331,32496357,severe,Those with concomitant infections had more severe illness .,
332,32498262,severe,"Among the 14 patients included , two died due to acute respiratory distress syndrome , nine were discharged from the hospital , and three remained hospitalized .",
333,32499448,severe,"The proportions of patients with multiple organ injuries , critically ill patients and death increased significantly with age .",
334,32499448,severe,"Conclusions : The symptoms of the elderly patients were more atypical , with more comorbidities , secondary infection , organ injuries , immune dysfunction and a higher risk of critical",
335,32501293,severe,"CONCLUSION : Together , our data suggest that early intervention to increase expression of CCL5 may prevent patients from developing severe illness .",
336,32501731,severe,"In this mini-review , we summarize the metabolic and vascular manifestations of COVID-19 with an emphasis on the association between changes in LDL-c levels and the development of severe symptoms",
337,32503812,severe,Higher median glucose level during hospital stay or after critical diagnosis ( > =6.1 mmol/L ) was independently associated with increased risks of progression to critical cases/death among non-critical cases,
338,32503812,severe,"We performed multivariable Cox regression to calculate HRs of blood glucose-associated indexes for the risk of progression to critical cases/mortality among non-critical cases , as well as in-hospital mortality in",
339,32503812,severe,"Elevation of admission blood glucose level was an independent risk factor for progression to critical cases/death among non-critical cases ( HR=1.30 , 95 % CI 1.03 to 1.63 , p=0.026",
340,32504360,severe,"Up to March 22 , 97.22 % of infants recovered , while a critical ill infant died .",
341,32504450,severe,Previous research indicated that dysfunctional coagulation was one of the important risk factors accountable for a high risk of severe disease and death in patients with COVID-19 .,
342,32506699,severe,"None of the patients had severe complications or required intensive care treatment , and all of them temporarily discontinued ongoing ts/bDMARDs therapy .",
343,32510598,severe,This study provides new insights into SARS-CoV-2 blood entry and heart injury and might propose a therapeutic strategy to prevent patients from developing severe complications .,
344,32511971,severe,Indicators that may most effectively predict a non-severe COVID-19 patient develop into a severe patient have been concluded .,
345,32511971,severe,We found indicators that may most effectively predict a non-severe COVID-19 patient develop into a severe patient .,
346,32513289,severe,"Proportion of patients with fever and cough at days 4 , 7 , 14 , and 21 as well as proportion of patients progressing to severe disease or death during",
347,32513989,severe,The inhibition of IL-2/IL-2R gives rise to CD8+ T cell and lymphocyte decrease through JAK1-STAT5 in critical patients with COVID-19 pneumonia .,
348,32516274,severe,or severe hypoxemia .,
349,32516571,severe,Pre-exposure to SARS-CoV-2 was able to protect mice from severe pneumonia .,
350,32516571,severe,"Last , we showed that pre-exposure to SARS-CoV-2 could protect mice from severe pneumonia .",
351,32518212,severe,"Clinical scales were being used in 33 ( 16.4 % ) trials , most often measures of oxygenation and critical illness .",
352,32518555,severe,"In this review , the early use of TCM for light and ordinary patients , can rapidly improve symptoms , shorten hospitalization days and reduce severe cases transformed from light",
353,32525575,severe,severe cases and a long intensive care unit stay for those requiring invasive mechanical ventilation .,
354,32525844,severe,") , transfusion-related acute lung injury ( n = 11 ) , and severe allergic transfusion reactions ( n = 3 ) .",
355,32526083,severe,Patients with abnormal LFTs had more severe inflammation and higher degree of organ dysfunction than those without .,
356,32526275,severe,The end point was the progression to a more severe disease stage .,
357,32526275,severe,"severe disease , 22 patients ( 2.18 % ) had progressed to the critically ill stage and 43 patients ( 4.27 % ) had died .",
358,32527255,severe,"As of March 25 , 85 confirmed patients were discharged , 15 died , and 2 remained hospitalized .",
359,32527257,severe,"However , the rates of severe disease are significantly higher in patients with diabetes compared with non-diabetes ( 34.6 % vs. 14.2 % ; p < 0.001 ) .",
360,32527345,severe,"There were 19 mild patients , 4 severe patients , and no critical or death case .",
361,32527345,severe,"There were 19 mild patients , 4 severe patients , and no critical or death case .",
362,32527868,severe,"Factors prognostic for the development of severe disease ( ie , requiring intensive care , n=7 ) were age over 5 years and ferritinaemia > 1400 microg/L .",
363,32530494,severe,"However , age at 70 years or older is associated with a significantly higher mortality ( 17.8 % ) and higher rate of severe and critical illness ( 57.5 %",
364,32531040,severe,To assess the association between renin-angiotensin system inhibitors ( RASIs ) and disease progression and critical outcomes .,
365,32531713,severe,"RESULTS : Compared with low NCD4LR patients , patients with high NCD4LR had an older age ; higher incidence of fever , fatigue , chest distress/breath shortness , severer disease",
366,32533986,severe,"CONCLUSION : In patients with COVID-19 , fever , leukocytosis , and an elevated CRP were associated with severe outcomes .",
367,32534129,severe,"Of those 30 patients , 14 died during their hospitalization , 8 were discharged , and 8 were still hospitalized as of May 14 , 2020 .",
368,32534175,severe,"A three-part prevention , diagnostic , and treatment plan is proposed for addressing the severe complications of COVID-19 .",
369,32534807,severe,COVID-19 thus rescuing the critical and irreplaceable gas-exchange alveoli .,
370,32534944,severe,"These adverse changes increased the susceptibility for severe infection , risk of hospitalization , and even death .",
371,32535147,severe,"We aimed to evaluate whether ibuprofen use in individuals with COVID-19 was associated with more severe disease , compared with individuals using paracetamol or no antipyretics .",
372,32535573,severe,"79 % of patients who died from COVID-19 had severe cardiovascular diseases , diabetes mellitus , neoplasms , renal diseases , respiratory disorders and obesity .",
373,32537954,severe,"Severe disease was defined as a composite outcome of acute respiratory distress syndrome , intensive care unit care , or death .",
374,32537957,severe,"Severe initial presentation and laboratory abnormalities , especially high CRP , were identified as risk factors for mortality and severe hospital course .",
375,32537960,severe,We propose that the novel SARS-CoV-2 can act as a trigger and substrate of an HP-like severe immune reaction especially in genetically vulnerable individuals in addition to those with immune,
376,32538855,severe,"Immune response and excessive inflammation in COVID-19 may also accelerate the progression of brain inflammatory neurodegeneration , and elderly individuals are more susceptible to severe outcomes after SARS-CoV-2 infection .",
377,32542337,severe,"In a pooled analysis of four studies , there was a statistically non-significant association of ACEI/ARB use with lower odds of developing severe disease vs. non-users [ odds ratio (",
378,32542964,severe,most severe disease effects .,
379,32543710,severe,"Of the 856 patients , there are 154 ( 18.0 % ) severe cases.32 ( 3.7 % ) reached composite endpoints , of which 22 ( 9.1 % ) were",
380,32544071,severe,"Stuffed nose and nausea are favorable prognostic factors of severe infection , especially among male patients .",
381,32544146,severe,"Course of illness , indicators of severe illness , maternal health outcomes , and pregnancy outcomes were abstracted from included articles .",
382,32544611,severe,"Children , because of having an immature immune system , are usually more prone than the adults to the microbial infections and have more severe symptoms , which is especially",
383,32549125,severe,SARS was characterized by severe lung injury due to virus-induced cytopathic effects and dysregulated hyperinflammatory state .,
384,32552872,severe,"cases , severe cases , and critical cases , respectively .",
385,32552872,severe,"cases , severe cases , and critical cases , respectively .",
386,32553503,severe,"Consequently , the putative impact of drugs modulating the renin-angiotensin system on the risk of developing severe or fatal severe acute respiratory syndrome in case of COVID-19 infection emerged .",
387,32553908,severe,"Its association with other well-known risk factors for severe maternal morbidity in pregnant women with no infection , including maternal age above 35 years , overweight , and obesity ,",
388,32554923,severe,"complement activation , dysregulated neutrophilia , endothelial injury , and hypercoagulability appear to be intertwined to drive the severe features of COVID-19 ; ( d ) a subset of patients",
389,32555674,severe,"of lymphocytes , and albumin and a low creatinine clearance rate and oxygen saturation were more likely to have severe disease .",
390,32555674,severe,The results show that 27 ( 33.8 % ) patients had severe illness .,
391,32558150,severe,"Epidemiology studies found males although only slightly more likely to be infected than females account for the majority of the severely ill and fatality , which also bias for people",
392,32558193,severe,Discontinuing the treatment in the acute period of COVID and the restart after recovery may prevent severe recurrence in these patients .,
393,32558877,severe,Conclusions and Relevance : Prior use of ACEI/ARBs was not significantly associated with COVID-19 diagnosis among patients with hypertension or with mortality or severe disease among patients diagnosed as having,
394,32558922,severe,"After long term hospitalization or ICU treatment , COVID-19 patients are severe functionally impaired .",
395,32559282,severe,"Seventy-seven ( 18.2 % ) SARS-CoV-2-positive patients were hospitalized , of whom 24 ( 31.2 % ) required respiratory support .",
396,32561401,severe,"COVID-19 was severe in patients with lung cancer ( 62 % hospitalized , 25 % died ) .",
397,32562427,severe,Hypotension was found in one severe case and seven critical cases during hospitalization .,
398,32562427,severe,Hypotension was found in one severe case and seven critical cases during hospitalization .,
399,32562427,severe,Mild pericardial effusion was observed in one severe case and five critical cases .,
400,32562427,severe,Mild pericardial effusion was observed in one severe case and five critical cases .,
401,32562427,severe,"Hypotension during treatment , severe myocardial injury and pericardial effusion were independent risk factors predicting the critical status of COVID-19 infection .",
402,32562561,severe,"Two patients ( 10.5 % ) died , 10 ( 52.6 % ) were discharged home , and 2 ( 10.5 % ) were still hospitalized after a median follow-up",
403,32562915,severe,"In general , based on existing data published to date , 80.9 % of patients infected with the virus develop mild infection ; 13.8 % severe pneumonia ; 4.7 %",
404,32563190,severe,We aimed to evaluate the association between FIB-4 and the risk of progression to critical illness in middle-aged patients with COVID-19 .,
405,32565309,severe,"Patients showed the most complicated haematological results in cluster 3 , including severe coagulation abnormalities , leukocytosis , neutrophilic granulocytosis , and lymphopenia .",
406,32566561,severe,"% CI , 0.43 to 1.06 ) and was associated with high risk of severe adverse reactions ; and oseltamivir had no effect on mortality ( RR =0.87 ; 95",
407,32566572,severe,The primary endpoint was the development of severe/critical illness within 7 days after admission .,
408,32567003,severe,"This study suggests that COVID-19-induced cytokine storm causes hepatotoxicity and subsequently critical hypoalbuminemia , which are associated with exacerbation of disease-associated inflammatory responses and progression of the disease and ultimately",
409,32567326,severe,"Cardiac injury , as assessed by serum analysis ( lactate dehydrogenase , cardiac troponin I , creatine kinase ( -MB ) and myoglobin ) , was associated with severe outcome",
410,32567972,severe,"However , administration of the suggested drugs are associated with severe adverse effects due to their off-target accumulation .",
411,32570995,severe,"However , patients ' positive response to short-term corticosteroids demonstrates that they may help blunt the severity of inflammation and prevent a severe hyperinflammatory phase , in turn reducing the",
412,32571410,severe,"Logistic regression analysis confirmed that lymphopenia ( P = 0.010 ) indicated severe prognosis in previously healthy young adults with COVID-19 , with the area under the curve ( AUC",
413,32571410,severe,"For previously healthy young adults with COVID-19 , lymphopenia on admission can predict severe prognosis .",
414,32571616,severe,CONCLUSIONS : Pre-existing diabetes is significantly associated with greater risk of severe/critical illness and in-hospital mortality in patients admitted to hospital with COVID-19 .,
415,32571783,severe,The comorbidities associated with obesity were found to be correlated with a severe clinical course of COVID-19 and increased mortality and high BMI has been shown to be correlated with,
416,32571934,severe,"In addition , microcomputed tomographic imaging revealed severe lung injury that shared characteristics with SARS-CoV-2-infected human lung , including severe , bilateral , peripherally distributed , multilobular ground glass opacity",
417,32571934,severe,We found that SARS-CoV-2 isolates replicate efficiently in the lungs of Syrian hamsters and cause severe pathological lesions in the lungs of these animals similar to commonly reported imaging features,
418,32572128,severe,"Kaplan-Meier analysis showed that the hospitalized duration was increased from the patients with neither overweight/obesity nor ALF to those with either overweight/obesity or ALF , and to those with both",
419,32572128,severe,We conducted a clinical epidemiological analysis to investigate the association of overweight/obesity and abnormal liver function ( ALF ) with hospitalized duration in patients infected with COVID-19 .,
420,32572128,severe,than the median value of the hospitalized days ( 19 days ) in this population .,
421,32573883,severe,"confidence interval 1.20-13.79 , P = .02 ) in the probability for severe disease , after adjusting for confounders .",
422,32574274,severe,severe respiratory complications in COVID-19 patients were registered .,
423,32574309,severe,The elderly with comorbidities were more prone to develop into severe or critical illness .,
424,32574334,severe,"By the end of the disease , most patients suffered from severe complications , including ARDS ( 17/18 ; 94.4 % ) , acute cardiac injury ( 10/18 ; 55.6",
425,32574840,severe,Our data show that patients with persistent viral presence ( > 16 days ) have more severe disease outcomes including extensive lung involvement and requirement of respiratory support .,
426,32575073,severe,"Conclusion : Older and younger patients exhibited differences in dyspnea , comorbidities , and proportions of severe cases .",
427,32575073,severe,"Compared with younger patients , older patients harbored more severe cases ( 37.9 % versus 17.1 % , p=0.001 ) and comorbidities ( 58.6 % versus 21.0 % , p",
428,32575078,severe,Interpretation : This is the first systematic review exploring the risk factors for severe illness in COVID-19 patients .,
429,32576139,severe,"A multivariate logistic analysis showed that body temperature , chills , initial chest X-ray findings , and the presence of diabetes were significantly associated with predicting the progression to severe",
430,32577426,severe,"Most of the patients infected with SARS-CoV-2 in Guangzhou , China are not severe cases and patients with older age , male , and decreased albumin level were more likely",
431,32577426,severe,"Approximately 16 % of patients ( n = 45 ) had severe disease , and there were no deaths .",
432,32578825,severe,", 5. nebulizer treatment , 6. non-invasive ventilation and high-flow nasal oxygen , 7. endotracheal intubation , 8. protective mechanical ventilation , 9. management of mechanical ventilation in severe and",
433,32579597,severe,"Significant predictors of severe disease were older age ( with AORs largely increasing after 70 years of age ) , male gender ( AOR : 1.76 ; 1.40-2.23 ) ,",
434,32580969,severe,"Compared to diseases caused by previously known human CoVs , COVID-19 shows less severe pathogenesis but higher transmission competence , as is evident from the continuously increasing number of confirmed",
435,32581323,severe,"Overall , COVID-19 in patients with cancer is marked by substantial rates of hospitalization and severe outcomes .",
436,32581323,severe,"Of these , 40 % were hospitalized for COVID-19 , 20 % developed severe respiratory illness ( including 9 % who required mechanical ventilation ) and 12 % died within",
437,32582575,severe,"According to scoring system , the probability of patients in high risk group developing severe disease was 20.24 times than that in low risk group .",
438,32582575,severe,"Topic : COVID-19 , severe and fetal pneumonia , logistic regression , scoring system , prediction .",
439,32582575,severe,"We used univariable and multivariable logistic regression analyses to select the risk factors of severe and even fetal pneumonia and build scoring system for prediction , which was validated later",
440,32583808,severe,"CONCLUSION : Even among the symptomatic COVID-19 cases , severe manifestations are seen in very few children .",
441,32584199,severe,", severe acute respiratory syndrome ; SARS-CoV-1 , severe acute respiratory syndrome coronavirus 1 ; SARS-CoV-2 , severe acute respiratory syndrome coronavirus 2 ; TNF-alpha , tumour necrosis factor alpha",
442,32584326,severe,"ICU patients showed a more severe inflammatory response as assessed by white blood cell count , neutrophil and platelet count , C-reactive protein , ferritin , procalcitonin , and albumin",
443,32584326,severe,"By the end of the study period , 65 inpatients had been discharged because of improvement , 70 continued hospitalized , and five had died .",
444,32585065,severe,"Overall , nearly one-fifth of hospitalized COVID-19 patients had CLD , which was associated with more critical illness .",
445,32585284,severe,or severe pneumonia .,
446,32586724,severe,Our aim was to describe the characteristics of the disease in this population and to determine predictive factors for poor outcome in terms of severe respiratory distress ( acute respiratory,
447,32588191,severe,"This paper aims to review the pathogenesis and the clinical picture of HLH , and its severe complication , the cytokine storm , with a special emphasis on the developed",
448,32588791,severe,of severe liver injury during hospital were observed .,
449,32588791,severe,Severe liver injury defined by 3x > upper limit of normal was observed in 9.1 % over a mean time of 10.5 days .,
450,32588943,severe,mortality from critical infections .,
451,32589451,severe,"Of 77 590 HIV-positive persons receiving ART , 236 were diagnosed with COVID-19 , 151 were hospitalized , 15 were admitted to the ICU , and 20 died .",
452,32589600,severe,"Increased levels of several inflammatory biomarkers , including c-reactive protein , have been found in COVID-19 patients and associated with an increased risk of severe disease , which is characterised",
453,32589756,severe,"We analyzed 184 patients hospitalized for Covid-19 in Livingston , New Jersey for clinical characteristics associated with severe disease .",
454,32591762,severe,Our data suggest that pharmacologic inhibition of the CCR1 and/or CCR5 pathways might suppress immune hyperactivation in critical COVID-19 .,
455,32593742,severe,"The proportions of third-generation patients developing severe illness ( 72.7 % vs. 32.5 % and 27.3 % , p < 0.001 ) , critical illness ( 38.6 % vs. 10.8",
456,32593746,severe,Twenty-four out of 75 patients developed into severe condition in the course of the infection .,
457,32594164,severe,Poor outcomes for hospitalized PLWH were frequent but similar to proportions in comparators ; 18 % required mechanical ventilation and 21 % died during follow-up ( compared with 23 %,
458,32597046,severe,"For predicting critical outcomes , NEWS was superior to both SIRS ( AUROC , 0.918 vs. 0.744 , P = 0.032 ) and qSOFA ( AUROC , 0.918 vs. 0.760",
459,32597046,severe,Calculation of the NEWS at the time of hospital admission can predict critical outcomes in patients with COVID-19 .,
460,32597048,severe,"Overall , 13.0 % ( 954 of 7,341 ) of the cases were severe .",
461,32598204,severe,"Reports indicated psoriatic patients on biologics were not more susceptible to COVID-19 and the severe clinical course of disease.Conclusion : While there is not definitive controlled trial data , the",
462,32600344,severe,There were 40 non-severe cases and 17 severe cases .,
463,32600344,severe,There were 40 non-severe cases and 17 severe cases .,
464,32601704,severe,PWH with COVID-19 demonstrated severe lymphopenia and decreased CD4+ T cell counts .,
465,32601704,severe,PWH who died had higher levels of inflammatory markers and more severe lymphopenia than those who recovered .,
466,32601704,severe,"In this retrospective review of people with HIV and severe acute respiratory syndrome coronavirus 2 coinfection , COVID-19 was characterized by severe lymphopenia and elevated levels of inflammatory markers that",
467,32602272,severe,"The primary outcome was defined as the severe and critical outcome ( SCO ) , of which the composite outcomes of acute respiratory distress syndrome , septic shock , intensive",
468,32602604,severe,Those with abnormal AST or TBIL on admission are more likely to suffer from severe complications and death .,
469,32602604,severe,"Those with abnormal liver biochemistries showed higher percentages of severe cases and comorbidities and were more likely to have dyspnea , chest distress or pain , and increased hemoglobin (",
470,32602675,severe,Patients over the age of 60 were the ones having severe illness and more complications ( p < 0.05 ) .,
471,32602676,severe,75 % of NCIP presented in severe pneumonia and 37.5 % required ICU care .,
472,32603901,severe,"One patient had a severe exacerbation during p1 , 2 patients during p2 , and 5 patients were treated with systemic corticosteroids and inhaled beta2 agonist during p3 .",
473,32603901,severe,"Moreover , SARS-CoV-2 pneumonia did not induce severe asthma exacerbation .",
474,32603901,severe,Severe asthma exacerbations were defined according to Global INitiative for Asthma guidelines during p1 and p2 .,
475,32612961,severe,Old people with chronic diseases are more susceptible to COVID-19 and have a high likelihood of developing severe and critically severe infection .,
476,32613777,severe,Diabetes has been associated with more severe outcomes and higher mortality in coronavirus disease 2019 ( COVID-19 ) patients compare to morbidity and mortality in patients without diabetes .,
477,32613934,severe,"The first data showed that COVID-19 could cause severe pulmonary disease , cardiac injury , and death in adults , especially the elderly and those with concomitant diseases .",
478,32616381,severe,"Synthetic glucocorticoids switch off cytokine storm , and consequent severe respiratory and multi-organ failures in patients with COVID-19 .",
479,32616588,severe,The median time from first onset of symptoms to development of acute respiratory distress syndrome in those who progress to severe disease is estimated to be 8.0 days [ 4,
480,32616597,severe,The main outcome was the onset of severe or critical illness during hospitalisation .,
481,32616599,severe,"`` Cytokine storm '' , inflammation-mediated severe lung damage and defective haemostasis are the main underlying reasons for morbidity and mortality in coronavirus disease 2019 ( COVID-19 ) patients [",
482,32619411,severe,Our findings show that endotheliopathy is present in COVID-19 and is likely to be associated with critical illness and death .,
483,32620118,severe,"The critical value of initial D-Dimer , peak D-Dimer , initial NLR and peak NLR was 0.73 mg/L , 3.78 mg/L,7.13 and 14.31 respectively .",
484,32620118,severe,"The critical value of initial D-Dimer , peak D-Dimer , initial NLR and peak NLR in prognosticate of intubation was 0.73 mg/L , 12.75 mg/L,7.28 and 27.55 .",
485,32620118,severe,We used ROC curves and Cox regression analysis to explore critical value ( optimal cut-off point associated with Youden index ) and prognostic role of dynamic changes of D-Dimer and,
486,32620125,severe,"Of all the 333 patients , 70 ( 21.0 % ) patients progressed into severe-critically ill conditions during hospitalization and assigned to the progressive group , 253 ( 76.0 %",
487,32622045,severe,severe acute respiratory illnesses as seen with COVID-19 ; and others .,
488,32622723,severe,"from mild to critical cases , length of hospital stay , total score of clinical symptoms , fever reduction time , symptom score of fever , number of cough reduction",
489,32622723,severe,"Besides , no severe adverse effects was identified by CHM .",
490,32622952,severe,"The area under the receiver operating characteristic curve ( AUC ) for NLR and CRP in predicting progression to critical condition was 0.77 ( 95 % CI 0.694-0.846 , p",
491,32622952,severe,NLR and CRP were good predictors of progression to critical condition and death .,
492,32622952,severe,The main outcomes were progression from moderate to severe or critical condition or death .,
493,32623546,severe,", for the severe respiratory symptoms in critical COVID-19 cases .",
494,32628137,severe,"not statistically significant , while ACEi exposure significantly reduced the risk of severe disease ( OR=0.37 , 95 % CI : 0.15-0.87 , p=0.03 ) .",
495,32628137,severe,"A retrospective cohort study aiming to identify the odds of severe disease ( defined as either hospitalization of > =14 days , admission to the intensive care unit , or",
496,32628793,severe,"Stratification based on need for hospitalization , severe disease and admission to intensive care unit ( ICU ) was performed .",
497,32629085,severe,"The incidence of the severe pneumoniae requiring intubation are significantly lower in the patients treated with ciclesonide than without it ( 11.18 % vs 83.33 % , p = 0.0033",
498,32629085,severe,The ciclesonide treatment group had a lower incidence of severe pneumonia .,
499,32629788,severe,"Twelve patients were hospitalized and two of them died , both with severe comorbidities .",
500,32629788,severe,"Twelve patients were hospitalized and two of them died , both with severe comorbidities .",
501,32629804,severe,Tocilizumab and baricitinib appear to improve mortality by preventing a severe cytokine storm .,
502,32631393,severe,Severe complications are common and the 60-day mortality of critically ill patients with COVID-19 is considerably high .,
503,32631458,severe,Our findings highlight that the identified determinants may help to predict the risk of developing more severe illness among COVID-19 patients and contribute to optimising arrangement of health resources .,
504,32632417,severe,"Pregnant women with COVID-19 have a high risk of developing pneumonia , with a severe course in more than half of cases .",
505,32633718,severe,suggest that the Bradykinin Storm may be responsible for the more severe symptoms of COVID-19 .,
506,32633729,severe,The degree of severity of COVID-19 patients ( severe vs. non-severe ) was defined at the time of admission according to American Thoracic Society guidelines for community acquired pneumonia .,
507,32633860,severe,for severe complications of COVID-19 .,
508,32634023,severe,"CONCLUSION : Hip fracture surgery in COVID-19-positive patients was associated with increased length of hospital stay , more admissions to the critical care unit , higher risk of perioperative complications",
509,32634459,severe,"This systematic review compares mortality risk factors including clinical , demographic and laboratory features of COVID-19 , Severe Acute Respiratory Syndrome ( SARS ) and Middle East Respiratory Syndrome (",
510,32635289,severe,associated with more severe diseases .,
511,32636061,severe,Twenty-seven patients ( 36.5 % ) were severe and 10 patients ( 13.5 % ) died .,
512,32638436,severe,"COVID-19 patients with elevated liver chemistries had increased risk of mortality ( OR-3.46 [ 2.42-4.95 , P < 0.001 ] ) and severe disease ( OR-2.87 [ 95 % CI",
513,32638507,severe,T2DM status aggravated the clinical condition of COVID-19 patients and increased their critical illness risk .,
514,32638507,severe,"27 ( 23.7 % ) cases died in T2DM patients , who had more severe inflammation , coagulation activation , myocardia injury , hepatic injury , and kidney injury ,",
515,32638507,severe,"P = 0.029 ) , and severe hyperglycemia ( FPG > =11.1 mmol/L ) ( Adjusted HR , 11.86 ; 95 % CI , 1.21-116.44 ; P = 0.034 )",
516,32639466,severe,"Critical illness was associated with older age ( p = 0.017 ) , longer duration of symptoms ( p = 0.036 ) , and lower oxygen saturation on presentation (",
517,32640723,severe,"We summarize the available literature on COVID-19 suggesting an increased risk for severe disease progression in cancer patients , and we discuss the possibility that SARS-CoV-2 could contribute to cancer",
518,32641174,severe,Associations between tertiles of NLR and the incidence of severe illness were analysed by logistic regression .,
519,32641471,severe,"COVID-19 , severe acute respiratory syndrome ( SARS ) and other HCoV patients were identified by diagnosis codes and/or virological results .",
520,32643469,severe,", who developed severe pulmonary complications .",
521,32643603,severe,"Ad5-hACE2-sensitized mice developed pneumonia characterized by weight loss , severe pulmonary pathology , and high-titer virus replication in lungs .",
522,32645044,severe,Older males with comorbidities are more likely to develop severe disease and even die from SARS-CoV-2 infection .,
523,32646502,severe,- Moderate-severe dyspnea or significant respiratory or general deterioration that makes admission advisable .,
524,32646502,severe,"- Severe immunosuppression ( HIV infection , long-term use of immunosuppressive agents ) ; cancer .",
525,32647324,severe,"Hence , patients with CLL might be considered more susceptible to severe complications from COVID-19 .",
526,32648899,severe,"Approximately 5 % of patients with COVID-19 , and 20 % of those hospitalized , experience severe symptoms necessitating intensive care .",
527,32648959,severe,We are very uncertain whether or not convalescent plasma therapy affects the risk of moderate to severe adverse events ( very low-certainty evidence ) .,
528,32649367,severe,"Subsequently , patients with the most severe symptoms tend to have poor outcomes , manifest severe hypoxia , and possess elevated levels of pro-inflammatory cytokines ( including IL-1beta , IL-6",
529,32650354,severe,of severe outcomes .,
530,32651212,severe,"To identify factors driving severe progression of COVID-19 , we performed single-cell RNA-seq using peripheral blood mononuclear cells ( PBMCs ) obtained from healthy donors , patients with mild or",
531,32651218,severe,"Risk factors for critical illness from SARS-CoV-2 infection include male gender , obesity , diabetes , and age > 65 .",
